  A B C D E F G H I J K L M N O P Q R S T
A 0 1 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0
B 1 0 2 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0
C 0 2 0 3 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0
D 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
E 0 0 0 1 0 1 0 0 0 10 0 0 0 0 0 0 0 0 0 0
F 0 0 0 0 1 0 0 0 0 0 24 0 0 0 0 0 0 0 0 34
G 1 0 0 0 0 0 0 4 0 0 0 0 0 11 0 0 0 0 0 0
H 3 5 0 0 0 0 4 0 18 0 0 0 30 7 0 0 0 0 0 0
I 0 0 20 0 0 0 0 18 0 2 0 0 0 0 3 0 0 0 0 0
J 0 0 0 0 10 0 0 0 2 0 0 4 0 0 0 0 0 0 0 0
K 0 0 0 0 0 24 0 0 0 0 0 12 0 0 0 0 0 1 0 7
L 0 0 0 0 0 0 0 0 0 4 12 0 8 0 0 8 0 0 0 0
M 0 0 0 0 0 0 0 30 0 0 0 8 0 0 0 0 0 5 0 0
N 0 0 0 0 0 0 11 7 0 0 0 0 0 0 1 0 0 0 0 0
O 0 0 0 0 0 0 0 0 3 0 0 0 0 1 0 29 0 21 0 0
P 0 0 0 0 0 0 0 0 0 0 0 8 0 0 29 0 1 3 0 0
Q 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
R 0 0 0 0 0 0 0 0 0 0 1 0 5 0 21 3 1 0 4 0
S 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 5
T 0 0 0 0 0 34 0 0 0 0 7 0 0 0 0 0 0 0 5 0
